number,status,posts,title,url,first_post_at,remark
,archived,1002,なんJnovelAI部,https://fate.5ch.net/test/read.cgi/liveuranus/1664884109,2022/10/04(火) 20:48:29.94,
,archived,1002,なんJNVAチラ裏部,https://fate.5ch.net/test/read.cgi/liveuranus/1679891659,2023/03/27(月) 13:34:19.37,
1,archived,1002,なんJNVA部★166.1,https://fate.5ch.net/test/read.cgi/liveuranus/1678282967,2023/03/08(水) 22:42:47.50,
1,active,229,なんUがこの先生きのこる方法★1,https://fate.5ch.net/test/read.cgi/liveuranus/1691414026,2023/08/07(月) 22:13:46.04,
2,archived,1002,なんJnovelAI部 ★2,https://fate.5ch.net/test/read.cgi/liveuranus/1664961994,2022/10/05(水) 18:26:34.30,
2,archived,1002,なんJNVAチラ裏部 ★2,https://fate.5ch.net/test/read.cgi/liveuranus/1682765013,2023/04/29(土) 19:43:33.50,
2,active,579,なんJRVC部 2,https://fate.5ch.net/test/read.cgi/liveuranus/1684768900,2023/05/23(火) 00:21:40.12,
2,active,790,なんJLLM部 ★2,https://fate.5ch.net/test/read.cgi/liveuranus/1685613014,2023/06/01(木) 18:50:14.03,
2,archived,1002,なんう　絵文字部 ★2,https://fate.5ch.net/test/read.cgi/liveuranus/1701533724,2023/12/03(日) 01:15:24.41,
2,archived,1002,なんJNVAどんぐりテスト部★2,https://fate.5ch.net/test/read.cgi/liveuranus/1724038167,2024/08/19(月) 12:29:27.59,
3,archived,1002,なんJnovelAI部 ★3,https://fate.5ch.net/test/read.cgi/liveuranus/1664977603,2022/10/05(水) 22:46:43.54,
3,active,420,なんJNVAチラ裏部 ★3,https://fate.5ch.net/test/read.cgi/liveuranus/1687949276,2023/06/28(水) 19:47:56.01,
3,archived,1002,なんJRVC部 3,https://fate.5ch.net/test/read.cgi/liveuranus/1691551411,2023/08/09(水) 12:23:31.97,
3,archived,1002,なんJLLM部 ★3,https://fate.5ch.net/test/read.cgi/liveuranus/1691639766,2023/08/10(木) 12:56:06.76,
3,active,2,なんJNVAどんぐりテスト部★3,https://fate.5ch.net/test/read.cgi/liveuranus/1729284746,2024/10/19(土) 05:52:26.07,
3,archived,1002,なんJNVAどんぐりテスト部★3,https://fate.5ch.net/test/read.cgi/liveuranus/1729324975,2024/10/19(土) 17:02:55.68,
4,archived,1002,なんJnovelAI部 ★4,https://fate.5ch.net/test/read.cgi/liveuranus/1665020985,2022/10/06(木) 10:49:45.94,
4,active,1,なんJLLM部 ★4,https://fate.5ch.net/test/read.cgi/liveuranus/1696026349,2023/09/30(土) 07:25:49.46,
4,archived,1002,なんJLLM部 ★4,https://fate.5ch.net/test/read.cgi/liveuranus/1696030365,2023/09/30(土) 08:32:45.60,
4,active,65,なんJRVC部 4,https://fate.5ch.net/test/read.cgi/liveuranus/1699700267,2023/11/11(土) 19:57:47.19,
4,active,13,なんJNVAどんぐりテスト部★4,https://fate.5ch.net/test/read.cgi/liveuranus/1735523566,2024/12/30(月) 10:52:46.14,
4,archived,1002,なんJNVAどんぐりテスト部★4,https://fate.5ch.net/test/read.cgi/liveuranus/1735550394,2024/12/30(月) 18:19:54.72,
5,archived,1002,なんJnovelAI部 ★5,https://fate.5ch.net/test/read.cgi/liveuranus/1665044626,2022/10/06(木) 17:23:46.70,
5,active,179,なんJLLM部 ★5,https://fate.5ch.net/test/read.cgi/liveuranus/1699666391,2023/11/11(土) 10:33:11.81,
5,archived,1002,【ボイスチェンジャー】なんJRVC部 5,https://fate.5ch.net/test/read.cgi/liveuranus/1701763239,2023/12/05(火) 17:00:39.54,
5,active,553,なんJNVAどんぐりテスト部★5,https://fate.5ch.net/test/read.cgi/liveuranus/1739097561,2025/02/09(日) 19:39:21.07,
5,archived,1002,【大砲無し】なんJNVAどんぐりテスト部★5,https://fate.5ch.net/test/read.cgi/liveuranus/1739262053,2025/02/11(火) 17:20:53.01,
6,archived,1002,なんJnovelAI部 ★6,https://fate.5ch.net/test/read.cgi/liveuranus/1665056346,2022/10/06(木) 20:39:06.09,
6,archived,1002,なんJLLM部 ★6,https://fate.5ch.net/test/read.cgi/liveuranus/1701542705,2023/12/03(日) 03:45:05.35,
6,archived,1002,【ボイスチェンジャー】なんJRVC部 6,https://fate.5ch.net/test/read.cgi/liveuranus/1707472445,2024/02/09(金) 18:54:05.89,
6,archived,1002,【大砲無し】なんJNVAどんぐりテスト部★6,https://fate.5ch.net/test/read.cgi/liveuranus/1747048720,2025/05/12(月) 20:18:40.98,
7,archived,1002,なんJnovelAI部 ★7,https://fate.5ch.net/test/read.cgi/liveuranus/1665069710,2022/10/07(金) 00:21:50.12,
7,archived,1002,なんJRVC部★7,https://fate.5ch.net/test/read.cgi/liveuranus/1711873736,2024/03/31(日) 17:28:56.06,
7,active,890,【大砲無し】なんJNVAどんぐりテスト部★7,https://fate.5ch.net/test/read.cgi/liveuranus/1753066591,2025/07/21(月) 11:56:31.46,
8,archived,1002,なんJnovelAI部 ★8,https://fate.5ch.net/test/read.cgi/liveuranus/1665110031,2022/10/07(金) 11:33:51.89,
9,archived,1002,なんJnovelAI部 ★9,https://fate.5ch.net/test/read.cgi/liveuranus/1665127253,2022/10/07(金) 16:20:53.72,
10,archived,1002,なんJnovelAI部 ★10,https://fate.5ch.net/test/read.cgi/liveuranus/1665138901,2022/10/07(金) 19:35:01.21,
11,archived,1002,なんJnovelAI部 ★11,https://fate.5ch.net/test/read.cgi/liveuranus/1665153460,2022/10/07(金) 23:37:40.57,
12,archived,1002,なんJnovelAI部 ★12,https://fate.5ch.net/test/read.cgi/liveuranus/1665169346,2022/10/08(土) 04:02:26.90,
13,archived,1002,なんJnovelAI部 ★13,https://fate.5ch.net/test/read.cgi/liveuranus/1665200283,2022/10/08(土) 12:38:03.15,
14,archived,1002,なんJnovelAI部 ★14,https://fate.5ch.net/test/read.cgi/liveuranus/1665212241,2022/10/08(土) 15:57:21.73,
15,archived,1002,なんJnovelAI部 ★15,https://fate.5ch.net/test/read.cgi/liveuranus/1665223449,2022/10/08(土) 19:04:09.16,
16,archived,1002,なんJnovelAI部 ★16,https://fate.5ch.net/test/read.cgi/liveuranus/1665234633,2022/10/08(土) 22:10:33.60,
16,archived,1002,なんJHLL部 ★16,https://fate.5ch.net/test/read.cgi/liveuranus/1680861298,2023/04/07(金) 18:54:58.22,
17,archived,1002,なんJnovelAI部 ★17,https://fate.5ch.net/test/read.cgi/liveuranus/1665243898,2022/10/09(日) 00:44:58.07,
17,archived,1002,なんJHLL部 ★17,https://fate.5ch.net/test/read.cgi/liveuranus/1682150848,2023/04/22(土) 17:07:28.54,
18,archived,1002,なんJnovelAI部 ★18,https://fate.5ch.net/test/read.cgi/liveuranus/1665263269,2022/10/09(日) 06:07:49.17,
18,archived,1002,なんJHLL部 ★18,https://fate.5ch.net/test/read.cgi/liveuranus/1683552340,2023/05/08(月) 22:25:40.72,
19,archived,1002,なんJnovelAI部 ★19,https://fate.5ch.net/test/read.cgi/liveuranus/1665286362,2022/10/09(日) 12:32:42.82,
19,archived,1002,なんJHLL部 ★19,https://fate.5ch.net/test/read.cgi/liveuranus/1685534083,2023/05/31(水) 20:54:43.23,
20,archived,1002,なんJnovelAI部 ★20,https://fate.5ch.net/test/read.cgi/liveuranus/1665300136,2022/10/09(日) 16:22:16.12,
20,archived,1002,なんJHLL部 ★20,https://fate.5ch.net/test/read.cgi/liveuranus/1687409248,2023/06/22(木) 13:47:28.29,
21,archived,1002,なんJnovelAI部 ★21,https://fate.5ch.net/test/read.cgi/liveuranus/1665312697,2022/10/09(日) 19:51:37.22,
21,archived,1002,なんJHLL部 ★21,https://fate.5ch.net/test/read.cgi/liveuranus/1688865025,2023/07/09(日) 10:10:25.77,
22,archived,1002,なんJnovelAI部 ★22,https://fate.5ch.net/test/read.cgi/liveuranus/1665323490,2022/10/09(日) 22:51:30.21,
22,active,780,なんJHLL部 ★22,https://fate.5ch.net/test/read.cgi/liveuranus/1690459921,2023/07/27(木) 21:12:01.81,
23,archived,1002,なんJnovelAI部 ★23,https://fate.5ch.net/test/read.cgi/liveuranus/1665334490,2022/10/10(月) 01:54:50.15,
23,active,287,なんJHLL部 ★23,https://fate.5ch.net/test/read.cgi/liveuranus/1691271211,2023/08/06(日) 06:33:31.38,
24,archived,1002,なんJnovelAI部 ★24,https://fate.5ch.net/test/read.cgi/liveuranus/1665373069,2022/10/10(月) 12:37:49.33,
24,active,48,なんJHLL部 ★24,https://fate.5ch.net/test/read.cgi/liveuranus/1691328482,2023/08/06(日) 22:28:02.16,
25,archived,1002,なんJnovelAI部 ★25,https://fate.5ch.net/test/read.cgi/liveuranus/1665388327,2022/10/10(月) 16:52:07.13,
26,archived,1002,なんJnovelAI部 ★26,https://fate.5ch.net/test/read.cgi/liveuranus/1665400944,2022/10/10(月) 20:22:24.52,
27,archived,1002,なんJnovelAI部 ★27,https://fate.5ch.net/test/read.cgi/liveuranus/1665414672,2022/10/11(火) 00:11:12.66,
28,archived,1002,なんJnovelAI部 ★28,https://fate.5ch.net/test/read.cgi/liveuranus/1665445927,2022/10/11(火) 08:52:07.74,
